Caso,Método,N,k_eff,Referência,Erro k (%),Iter. externas,Iter. fonte média,Resíduo final,Tempo (s),Fonte fixa convergiu (todas as chamadas),Chamadas fonte fixa não convergidas,Bateu max_iter externo
homogeneo,Correção multiescala por pooling/interpolação,80,0.9972372013990389,0.9972907452457941,0.005368930475932444,29,146.24137931034483,9.655952453613281e-06,8.945888399990508,True,0,False
homogeneo,Thomas clássico,80,0.9972905606216397,0.9972907452457941,1.8512570711112424e-05,31,1.0,1.9818544387817383e-06,0.04955629998585209,True,0,False
heterogeneo,Correção multiescala por pooling/interpolação,120,1.095148223363818,1.09506,0.008056486751225882,254,8.633858267716535,7.331371307373047e-06,4.054465599998366,True,0,False
heterogeneo,Thomas clássico,120,1.0951630591992283,1.09506,0.009411283329531943,243,1.0,8.940696716308594e-08,0.32844110002042726,True,0,False
